prc_energy_h_1,prc_energy_h_2,prc_energy_h_3,ridge_energy_h_1,ridge_energy_h_2,ridge_energy_h_3,lasso_energy_h_1,lasso_energy_h_2,lasso_energy_h_3,xgb_energy_h_1,xgb_energy_h_2,xgb_energy_h_3,cb_ridge_lasso_energy_h_1,cb_ridge_lasso_energy_h_2,cb_ridge_lasso_energy_h_3,cb_ridge_pcr_energy_h_1,cb_ridge_pcr_energy_h_2,cb_ridge_pcr_energy_h_3,cb_ridge_prc_lasso_energy_h_1,cb_ridge_prc_lasso_energy_h_2,cb_ridge_prc_lasso_energy_h_3,ar_1_energy_h_1,ar_1_energy_h_2,ar_1_energy_h_3,xgb_pca_energy_h_1,xgb_pca_energy_h_2,xgb_pca_energy_h_3
6.475013699541609,6.372073287124108,5.795554253360647,6.6881997353086415,6.0293606490616565,3.785883502930889,6.783656146429118,6.503689156716604,4.519175645046824,5.417072,3.457024,2.4609513,6.73592794086888,6.26652490288913,4.152529573988856,6.6881997353086415,6.0293606490616565,3.785883502930889,6.648956527093123,6.301707697634122,4.700204467112786,6.457546225317457,6.1276657190026675,4.779091507515551,6.0299196,3.8168302,3.1203501
6.849337915999703,5.925651478112733,5.719173559841915,7.425475471044019,6.3505454161135475,6.0629227906360725,7.479866027920766,6.756047542131262,6.684602738522934,6.4395113,3.0824666,3.6694598,7.452670749482392,6.553296479122405,6.373762764579503,7.425475471044019,6.3505454161135475,6.0629227906360725,7.251559804988162,6.344081478785848,6.1555663630003075,6.823089254934025,6.231535610791597,5.92893310521175,7.132255,3.1332314,3.8951244
9.187828898970906,8.006642675068626,7.106226597474606,8.049249098275759,7.426910833422818,6.308457995135486,8.188919592039326,7.672403010536466,6.957187886213116,8.723461,8.380877,4.164461,8.119084345157543,7.549656921979642,6.6328229406743,8.049249098275759,7.426910833422818,6.308457995135486,8.475332529761998,7.701985506342637,6.790624159607735,7.514860666505713,6.572917330858024,6.0261025253448794,7.946726,8.121243,4.535006
7.738611912086439,8.118125084703944,7.049656322307806,8.713363865017905,8.103111540271161,7.575614546792554,8.929956168611733,8.366580302379774,7.948951088692141,9.026772,8.18795,7.711658,8.82166001681482,8.234845921325467,7.7622828177423475,8.713363865017905,8.103111540271161,7.575614546792554,8.460643981905358,8.19593897578496,7.524740652597501,8.58736922896404,7.21896470487809,6.345462286018478,8.717403,6.207774,8.17539
10.331494378052966,8.376739241335649,8.744185084895113,8.980260571362248,8.486041881617552,8.235394772249819,9.234571642061598,8.826247173598851,8.566948569237924,8.57618,9.478325,5.2913604,9.107416106711923,8.656144527608202,8.40117167074387,8.980260571362248,8.486041881617552,8.235394772249819,9.515442197158938,8.563009432184018,8.515509475460952,9.049666899204384,8.220583633905534,6.949834232796142,8.718004,7.2034054,4.5406065
4.807826753533254,10.82488572125348,9.099293303390796,3.99510730375875,8.882700777231147,8.333622385249576,4.308704089895505,9.20657597588821,8.795540810606997,5.869303,8.712736,4.4584312,4.151905696827128,9.04463837655968,8.564581597928287,3.99510730375875,8.882700777231147,8.333622385249576,4.370546049062503,9.638054158124278,8.742818833082456,4.951165407693269,8.652324799958937,7.886840412852027,5.799947,6.9151845,4.530128
3.0380588157841997,5.594854580135122,11.200718254058405,1.6231664622249335,4.111121659743997,8.715946234064873,1.8633166616464465,4.43410194306839,9.103107721378567,2.9480534,4.834111,3.4070745,1.74324156193569,4.272611801406193,8.90952697772172,1.6231664622249335,4.111121659743997,8.715946234064873,2.1748473132185264,4.7133593943158365,9.673257403167282,2.6434932856709654,4.824722095198008,8.290730683944824,3.0422435,4.065926,4.1858745
3.553763696982829,3.273171269179737,5.876087221813375,2.7420074289628698,1.9568952948299256,4.259912280897931,2.9431353685592794,2.167832282556446,4.576109568633203,3.3985026,2.8645117,4.4562855,2.8425713987610743,2.062363788693186,4.418010924765567,2.7420074289628698,1.9568952948299256,4.259912280897931,3.079635498168326,2.465966282188703,4.904036357114836,3.2279615857032993,2.669580252685883,4.710040178582641,4.0280256,2.7642744,4.661304
5.334454906082424,4.052040660064806,3.7245921261709056,3.885735946823755,3.136625377950771,2.1968438127565455,4.046568762470267,3.3202543843912955,2.363747984068705,3.7440498,2.950904,2.452461,3.966152354647011,3.2284398811710333,2.280295898412625,3.885735946823755,3.136625377950771,2.1968438127565455,4.4222532051254815,3.5029734741356244,2.761727974332052,4.498900189403434,3.2154169324295228,2.6939229040302597,4.876154,3.0249462,2.429779
3.659128093302935,4.039376827423519,2.774703461089429,4.165043955996721,4.1135631827696155,3.2804909510239697,4.263951035817778,4.21397254987253,3.431278426660866,4.3314953,4.5084944,3.0413232,4.214497495907249,4.163767866321073,3.355884688842418,4.165043955996721,4.1135631827696155,3.2804909510239697,4.029374361705812,4.122304186688555,3.162157612924755,4.808286698834808,4.402350265791351,3.204548579523021,4.059241,3.707654,2.3337858
