number,mae,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_num_boosted_rounds,params_subsample
564,0.47885416944821674,0.089824,0.28865849319718356,0.742063410938211,0.16833108356701748,0.2905313036737077,15,98,0.7441881198327214
918,0.47917672991752625,0.112017,0.213750869022688,0.8238572191126426,0.14397074462993528,0.25984266070924755,9,51,0.7371534477160055
805,0.4792807102203369,0.101432,0.1908432790797811,0.7749241578783227,0.699312396687024,0.24926777165229108,13,17,0.7744801426333574
983,0.47965442140897113,0.117416,0.24772666428200255,0.8357104997558723,0.176626776225725,0.27153190893680984,9,53,0.770885237502626
736,0.4799240430196126,0.103038,0.0914587000966198,0.8081303153023855,0.494484945376147,0.28658835391923565,12,98,0.7231478127656812
978,0.47996289531389874,0.111579,0.20020269080326517,0.8186681945692819,0.22231890869107637,0.28227728593434853,9,54,0.7517843158323272
791,0.4803050806125005,0.101343,0.24491110929506757,0.8515029950345911,0.21321982631567837,0.2565436784115446,14,95,0.7424449386278144
572,0.48037948707739514,0.103283,0.02742352241425576,0.8566151914441981,0.623505876712294,0.2263035070384985,6,14,0.7301490058991493
385,0.48104573289553326,0.092066,0.049996790410209005,0.8427811019291345,0.5423909188897733,0.28547471983302397,4,99,0.7157408456060546
631,0.48350389301776886,0.092701,0.047618683058379824,0.7532475752702129,0.5899486894544922,0.2757502982258864,8,100,0.736972368431599
817,0.48369284967581433,0.105483,0.2624307003757152,0.513482529586813,0.43778221184897526,0.22851113376861462,10,94,0.7396677045655917
885,0.48421671986579895,0.117038,0.2104597911474992,0.8206084276094588,0.13389491860369412,0.2726419738998311,8,51,0.7510195907364667
488,0.4852809011936188,0.084334,0.2588151634466645,0.7494440953259498,0.2009023232003648,0.25424897909437105,11,100,0.7558209210870153
901,0.4853184123833974,0.114861,0.22083278656588667,0.801486846262575,0.2763553480601008,0.26361667147463036,9,51,0.7443814799059704
949,0.4860551158587138,0.110694,0.22986619328611935,0.8002508455468609,0.269741135361839,0.2695043970750039,9,60,0.7454935509457277
